42|Comunicador de emociones III||Carrasco, Ted|Bolivia|Mármol travertino|42.jpg|Av. De los Inmigrantes 1001 - Museum |-27.438676,-58.981632|Premio Fundación Andreani - Primera Bienal Internacional de Escultura|||
43|Imagen del alba||Carriza, Hugo César|Argentina|Cemento|43.jpg|Av. Sarmiento 2300|-27.434258,-58.967456||||
44|Cuando llegue la hora te estaré esperando|31-12-1996|Castro, Luis|Venezuela|Mármol travertino|44.jpg|La Rioja 268|-27.444325,-58.983541|Premio de los Niños - Segunda Trienal Americana de Escultura|||
45|El sembrador|1-3-1962|Constanzo, Julio|Argentina|Cemento|45.jpg|Vedia 152|-27.450726,-58.989685||||
46|Cabeza de Almafuerte|3-5-1963|Correa Morales, Lucio|Argentina|Bronce|46.jpg|Av. San Martin 100 al 200|-27.456105,-58.98337||||
47|Margarita en monociclo paseando por la Ciudad de las Esculturas|6-1-1999|Cuevas, Carlos|Argentina|Resina|47.jpg|Av. Las Heras 120|-27.458437,-58.9808||||
48|Hombre sentado|0-0-1978|Cuesta, Orlando Eloy|Argentina|Madera algarrobo patinado|48.jpg|Ruta Nacional 11, Km 1003,5 - Aeropuerto Internacional Resistencia|-27.444656,-59.049054||||
49|Remordimiento|31-10-1962|Cullen Ayerza, Hernán|Argentina|Bronce|49.jpg|Juan B. Justo 102|-27.45287,-58.986451||||
50|Dúo|25-8-1999|Chablais, Jean Paul|Francia|Mármol travertino|50.jpg|Av. San Martin 602 - Escuela de Comercio 7, 8 y 9|-27.459685,-58.98768||||
51|Péndulo|0-0-1978|Daga, Ricardo|Argentina|Bronce|51.jpg|Mitre 97|-27.44955,-58.986811||||
52|Cabeza de Fernando Arranz||De la Cárcova, Ernesto|Argentina|Bronce|52.jpg|Plaza 25 de Mayo|-27.450291,-58.986862||||
53|Gaucho Victoriano Nogueira|0-0-1972|Della Lastra, Ricardo||Bronce|53.jpg|Av. 9 de Julio 699|-27.456436,-58.980339||||
54|Quinre||De Leo, José Luis|Argentina|Madera|54.jpg|Marcelo T. De Alvear 145 - Casa de Gobierno|-27.449795,-58.98713|Tercer premio - Quinto Concurso Nacional de Escultura en Madera|||
55|Madre||De Robertis, Pablo|Argentina|Bronce|55.jpg|Juan D. Perón 123|-27.451709,-58.989404||||
56|Luna||Devoto, Antonio|Argentina|Bronce|56.jpg|Julio A. Roca 440|-27.448519,-58.991184||||
57|Maternidad|10-8-1968|Devoto, Antonio|Argentina|Cemento|57.jpg|Güemes 190|-27.450493,-58.983887||||
58|Madre||Diamante de Gorodner, Lola|Argentina|Cemento|58.jpg|Hipólito yrigoyen 236|-27.452232,-58.983592||||
59|De la serie de la ribera||"Díaz, Alberto ""Bastón"""|Argentina|Madera|59.jpg|Roque Saenz Peña 180 - Secheep|-27.454703,-58.985641|Tercer Premio - Primera Trienal Nacional de Escultra en Madera|||
60|En memoria de...|19-7-1998|Díaz Navarro, Carlos|Argentina|Mármol travertino|60.jpg|Plazoleta Aldo y Efraín Boglietti|-27.445111,-58.97796|Premio Fundación Andreani - Gran Premio de Honor|||
61|Convivencia 23||Díaz Navarro, Carlos|Argentina|Madera y granito|61.jpg|Sala de Exposición MUSEUM||Primer Premio - Primer Concurso Americano de Escultura en Madera|||
62|Angel mío|5-11-1998|Dinev, Mitko|Bulgaria|Metal|62.jpg|Av. De los Inmigrantes 1001 - Museum |-27.454865,-58.982007|Premio del Público y de los Niños - Primera Bienal Internacional de Escultura|||
63|Cabeza de Juan Ramón Lestani|2-2-1959|Dominguez, Crisanto|Argentina|Bronce|63.jpg|Av. Italia 1|-27.454865,-58.982007||||
64|Cabeza del Poeta Gaspar Benavento|14-7-1961|Dominguez, Crisanto|Argentina|Bronce|64.jpg|Brown 350 - El Fogón de los Arrieros|-27.45248,-58.981779||||
65|Julia|9-12-1997|Dominguez, Crisanto|Argentina|Bronce|65.jpg|Hipólito yrigoyen 726|-27.456022,-58.979304||||
66|Desnudo||Dompé, Hernán|Argentina|Mármol travertino|66.jpg|Av. Italia 50|-27.454755,-58.981763||||
